"",geographyRank,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",referralRank,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",socialRank,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",adRank,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","#11","","#12","","#13","","#14","","#15","","#16","","#17","","#18","","#19","","#20","","#21","","#22","","#23","","#24","","#25","","#26","","#27","","#28","","#29","","#30","","#31","","#32","","#33","","#34","","#35","","#36","","#37","","#38","","#39","","#40","","","","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","#11","","#12","","#13","","#14","","#15","","#16","","#17","","#18","","#19","","#20","","#21","","#22","","#23","","#24","","#25","","#26","","#27","","#28","","#29","","#30","","#31","","#32","","#33","","#34","","#35","","#36","","#37","","#38","","#39","","#40","","","","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","#11","","#12","","#13","","#14","","#15","","#16","","#17","","#18","","#19","","#20","","#21","","#22","","#23","","#24","","#25","","#26","","#27","","#28","","#29","","#30","","#31","","#32","","#33","","#34","","#35","","#36","","#37","","#38","","#39","","#40","","","","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","#11","","#12","","#13","","#14","","#15","","#16","","#17","","#18","","#19","","#20","","#21","","#22","","#23","","#24","","#25","","#26","","#27","","#28","","#29","","#30","","#31","","#32","","#33","","#34","","#35","","#36","","#37","","#38","","#39","","#40","",""
"","United States","12432833.61","Russia","9996589.58","Turkey","6292659.75","Brazil","6120375.91","Ukraine","4722806.88","Vietnam","4352633.48","China","4029810.71","United Kingdom","3440650.06","Germany","3279782.24","Poland","2823462.96","Netherlands","2718639.67","Indonesia","2521528.48","Korea, Republic of","2499588.47","Thailand","2348578.29","France","2178642.44","Spain","1938522.50","India","1791976.73","Japan","1781580.17","Canada","1660472.36","Mexico","1540197.09","Italy","1527584.15","Australia","1484518.31","Czech Republic","1054164.39","Bulgaria","934931.52","Romania","932753.90","South Africa","888071.66","Belgium","879754.95","Slovakia","727535.11","Switzerland","715080.32","Venezuela","710815.72","Taiwan","675222.72","Latvia","661298.87","Belarus","625560.34","Colombia","562265.81","Austria","557197.04","Argentina","546026.02","Portugal","527170.49","Singapore","514839.66","Slovenia","505024.56","Philippines","470954.97","","","coinmarketcap.com","3973051.77","masternodes.online","268201.43","adbtc.top","166796.01","bitcointalk.org","162551.89","feixiaohao.com","122382.49","poplized-insations.com","118622.52","coinbase.com","117217.10","bitstamp.com","70127.12","whattomine.com","67520.76","myfeed4u.net","63720.00","hackertyper.com","59093.50","ethereumcashpro.com","59026.12","coingecko.com","57975.05","github.com","42013.48","worldcoinindex.com","40871.90","refbit.net","39240.00","myfeed4u.me","37560.00","usagoals.nu","36480.00","bitcoin.org","33827.95","usagoals.me","31800.00","tradingview.com","29623.42","coinsutra.com","29265.30","huobi.com","28881.34","crankykernel.com","28200.00","livecoinwatch.com","28095.01","crypto-coinz.net","28046.34","medium.com","26334.50","myfeed4u.tv","25440.00","wykop.pl","22638.86","cointradermonitor.com","21956.39","ico.savedroid.com","21066.97","exchange.tokenomy.com","20316.87","stakecube.net","19876.22","eksisozluk.com","18882.29","qoinad.com","18861.07","ripple.com","18129.31","manilaads.ph","17233.27","zamunda.net","17195.16","okb.com","16868.91","cryptoknight.cc","16264.65","","","youtube.com/watch","2348550.28","facebook.com","1301124.32","youtube.com","863983.93","twitter.com","430412.70","web.whatsapp.com","336543.01","youtube.com/feed/subscriptions","168715.57","vk.com/im","97471.03","vk.com/feed","96479.08","youtube.com/results","67810.73","reddit.com","58494.49","tweetdeck.twitter.com","36362.16","apps.facebook.com/fazenda-feliz","32420.24","instagram.com","26214.82","l.facebook.com/l.php","19692.53","twitter.com/i/notifications","19579.27","web.facebook.com","19327.24","twitter.com/search","16893.46","twitter.com/DaoCoinTech","16268.43","facebook.com/photo.php","14885.23","away.vk.com/away.php","11300.79","facebook.com/messages/t/1653304364740342","11161.51","linkedin.com/feed","11003.98","ok.ru/feed","10273.03","vk.com/al_feed.php","9636.53","reddit.com/r/CryptoCurrency","8798.29","youtube.com/my_videos","8384.05","facebook.com/profile.php","8270.12","weibo.com/mygroups","8166.27","youtube.com/playlist","8147.47","youtube.com/dashboard","8009.46","youtube.com/upload","7291.13","twitter.com/bitcoinprivate","7059.78","vk.com/groups","7041.69","twitter.com/realdonaldtrump","7024.74","twitter.com/Mainframe_HQ","6960.00","vk.com/friends","6739.18","soundcloud.com/stream","6697.95","youtube.com/feed/trending","5686.40","quora.com","5498.21","linkedin.com/mynetwork","5476.00","","","boards.4chan.org","36355.79","ouo.io","18458.64","coinmarketcap.com","14166.29","cryptomininggame.com","10192.80","youtube.com","8443.23","finder.com","3961.20","en.softonic.com","3658.74","cc.minkabu.jp","3216.57","adbilty.me","2923.92","zerokarabitcoin.com","2331.21","forextic.top","2255.33","4miner.me","1794.77","gall.dcinside.com","1537.25","kissasian.sh","1452.24","game24h.vn","1445.96","is3.4chan.org","1400.00","tradingview.com","1372.54","4chan.org","1300.00","netbusinessrating.com","1300.00","poipoikunpoi.com","1286.39","seiyablog.com","1286.39","coalco.pl","1257.56","coindesk.com","1221.39","shinkme.com","1205.59","programandolaweb.info","1147.51","kissanime.ru","1142.64","navigator.gmx.net","1016.11","changer.com","1000.00","weekinethereum.com","1000.00","etoland.co.kr","1000.00","korbitblog.tumblr.com","1000.00","nohat.se","929.04","9anime.is","914.40","programmer-symbol.com","884.17","asmhentai.com","859.60","wakanda.ng","761.71","kinoprofi.org","747.84","bmail.uol.com.br","714.48","adbtc.top","692.15","oturl.com","670.64",""
"","Binance","3306960.00","Binance","1779840.00","Binance","1762560.00","Mercado Bitcoin","1084270.00","Binance","805680.00","Binance","1481760.00","OKEx","683040.00","Binance","786240.00","Binance","667440.00","BitBay","646167.69","Binance","570240.00","Indodax","1391550.00","Upbit","854900.00","BX Thailand","1421700.00","Binance","475200.00","Binance","490320.00","Binance","421200.00","Zaif","505991.00","Binance","358560.00","Bitso","850572.66","Binance","347760.00","BTC Markets","551137.24","Binance","177120.00","Binance","235440.00","Binance","185760.00","Luno","277760.40","Binance","216000.00","Coinbase Pro","124550.00","Binance","142560.00","Binance","166320.00","Binance","203040.00","Binance","62640.00","Binance","110160.00","Binance","159840.00","Binance","129600.00","Binance","155520.00","Binance","108000.00","Binance","136080.00","Binance","110160.00","Binance","116640.00","","","Binance","480240.00","CryptoBridge","108817.50","CoinExchange","59023.25","CryptoBridge","23457.50","OKEx","12245.31","CEX.IO","118622.52","Coinbase Pro","117217.10","Bitstamp","35063.56","Cryptopia","20358.45","Binance","63720.00","Binance","37440.00","CoinEx","59026.12","BitForex","3747.84","Binance","7320.00","Binance","4920.00","Binance","39240.00","Binance","37560.00","Binance","36480.00","Gemini","9907.11","Binance","31800.00","Luno","16826.74","Binance","4560.00","HBUS","18013.34","Binance","28200.00","Cryptopia","3835.65","CryptoBridge","7617.50","Binance","3600.00","Binance","25440.00","Luno","22433.90","BitcoinToYou","5388.16","HitBTC","6696.30","Indodax","20316.87","Cryptopia","5732.40","BtcTurk","6820.20","Kucoin","9722.79","Kraken","6358.24","itBit","3352.80","Binance","16800.00","OKEx","14630.76","TradeOgre","12492.32","","","Binance","241680.00","Binance","230640.00","Binance","229320.00","Binance","122520.00","Binance","63120.00","Binance","32280.00","Binance","12600.00","YoBit","18980.20","Binance","7200.00","Binance","17760.00","Binance","7080.00","YoBit","25689.48","CEX.IO","3426.04","Coinut","3282.80","Binance","8520.00","Indodax","5416.62","Zaif","5304.60","Binance","5520.00","Bittrex","1551.60","Binance","1680.00","Binance","5160.00","Bittrex","1318.86","Binance","2040.00","Binance","2880.00","Bitfinex","1997.52","YoBit","3442.92","Binance","1560.00","Huobi","3952.19","Binance","3960.00","Binance","1920.00","Bittrex","2715.30","Bittrex","7059.78","Binance","2640.00","OKEx","2476.60","Binance","6960.00","Binance","2040.00","Bittrex","1551.60","Binance","1800.00","Luno","1339.20","Token Store","3011.50","","","Bittrex","10300.00","Binance","18458.64","CoinsBank","10286.22","Binance","10192.80","CEX.IO","3642.36","Binance","2566.80","Luno","3658.74","Bitbank","3216.57","Binance","2923.92","Bitbank","2331.21","OpenLedger DEX","2255.33","OpenLedger DEX","1794.77","Bithumb","1000.00","Hotbit","1452.24","Coindeal","1445.96","Cryptopia","1400.00","Luno","768.04","BtcTurk","1300.00","Indodax","1300.00","Bitbank","1286.39","Bitbank","1286.39","Luno","1257.56","CoinCorner","1000.00","Bitso","1205.59","Kucoin","1147.51","Hotbit","1142.64","YoBit","584.82","BitcoinToYou","1000.00","AirSwap","1000.00","CPDAX","1000.00","Korbit","1000.00","Livecoin","929.04","Hotbit","914.40","Bitbank","884.17","OKEx","859.60","Luno","761.71","Exmo","747.84","Mercado Bitcoin","714.48","CEX.IO","692.15","OpenLedger DEX","670.64",""
"","Coinbase Pro","2674380.00","YoBit","1718280.00","BtcTurk","1071840.00","Binance","911520.00","Exmo","600720.00","Bittrex","486780.00","Binance","594000.00","Coinbase Pro","460040.00","Bitfinex","315840.00","Binance","516240.00","Bittrex","203740.00","Binance","172800.00","Bithumb","459365.30","Binance","205200.00","Kraken","309150.00","Bitfinex","217920.00","Koinex","244090.08","Bitbank","390344.50","QuadrigaCX","272383.05","Binance","153360.00","Coinbase Pro","165890.00","Binance","300240.00","Coinbase Pro","110240.00","Kraken","90990.00","Bittrex","75640.00","Altcoin Trader","257906.89","Coinbase Pro","101760.00","Binance","103680.00","Bittrex","57950.00","Poloniex","66500.00","MBAex","67399.41","Kraken","58050.00","Poloniex","53000.00","Poloniex","58500.00","Coinbase Pro","71550.00","Bitfinex","40800.00","Coinbase Pro","100170.00","Gemini","36580.96","Bitstamp","80470.00","Cryptopia","38400.00","","","Cryptopia","261709.35","Graviex","56203.00","Binance","40920.00","Graviex","16597.09","Binance","10560.00","","","","","Bitstamp (Ripple Gateway)","35063.56","Bittrex","16747.50","","","CoinExchange","21653.50","","","TradeOgre","3266.78","Huobi","5769.26","WEX","2356.38","","","","","","","itBit","4291.33","","","CEX.IO","7259.40","CEX.IO","3315.78","HADAX","10868.00","","","Binance","3720.00","Trade Satoshi","4664.85","Coinbe","1320.90","","","BitBay","204.96","Braziliex","4596.80","IDEX","6190.10","","","CryptoBridge","5555.00","Binance","5640.00","Binance","9120.00","Coinone","3252.20","Bitstamp","2865.38","Exmo","395.16","OKCoin International","2238.15","Crex24","2840.70","","","Bittrex","239644.62","Bittrex","169512.30","YoBit","72477.88","Bittrex","76726.62","Bittrex","31807.80","Bittrex","18619.20","YoBit","12491.62","Binance","18360.00","Cryptopia","6496.98","Bittrex","13266.18","Bittrex","6594.30","WEX","5972.68","Bitstamp (Ripple Gateway)","2995.74","BTCC","2066.85","IDEX","1908.48","Binance","2040.00","Binance","4680.00","BtcTurk","5020.16","Bitfinex","1096.20","AirSwap","954.45","Bittrex","2560.14","Binance","1080.00","YoBit","1986.30","YoBit","1059.36","OKEx","1526.56","Binance","2400.00","HitBTC","957.00","OKEx","2030.00","Bittrex","620.64","Negocie Coins","1514.39","Negocie Coins","827.84","","","YoBit","1368.34","IDEX","1075.20","","","YoBit","1015.22","Bitstamp (Ripple Gateway)","1481.04","Bitfinex","1315.44","CEX.IO","1192.05","Exmo","709.05","","","Binance","5170.80","","","CEX.IO","1793.24","","","Luno","1333.52","ezBtc","1000.00","","","","","","","","","","","","","GOPAX","537.25","","","","","","","OKCoin International","604.50","","","","","","","","","","","OKCoin International","221.39","","","","","","","Bitfinex","431.29","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Bittrex","828380.00","Poloniex","1069500.00","Paribu","532643.76","BitcoinTrade","332478.92","Poloniex","423000.00","CoinEx","187460.00","OTCBTC","319750.80","Bittrex","252540.00","Kraken","223830.00","Bittrex","225090.00","LiteBit.eu","198819.84","Cryptopia","57200.00","Coinone","157851.76","Cryptopia","116000.00","Bittrex","151280.00","Kraken","164430.00","Bitbns","116602.14","bitFlyer","283420.19","Bitfinex","154080.00","Bittrex","73810.00","Kraken","112050.00","Bittrex","70760.00","Bitfinex","104160.00","Poloniex","71000.00","Kucoin","67280.00","Binance","95040.00","Kraken","77220.00","Bittrex","87230.00","Kraken","54000.00","Bittrex","62220.00","Bitfinex","66720.00","Poloniex","55000.00","YoBit","48840.00","Bittrex","50630.00","Kraken","44010.00","CryptoMarket","37160.58","Bittrex","45750.00","Cryptopia","34000.00","Bitstamp (Ripple Gateway)","80470.00","Bittrex","37820.00","","","IDEX","193542.20","Cryptopia","28704.15","CoinEx","37035.28","Crex24","15618.28","ZB.COM","10547.53","","","","","","","Binance","10800.00","","","","","","","HitBTC","3072.42","Poloniex","2641.86","LakeBTC","1834.88","","","","","","","Bittylicious","3270.15","","","OKCoin International","3851.70","Bisq","2507.92","","","","","ZB.COM","2634.10","Cryptopia","4636.50","IDEX","1075.50","","","","","Mercado Bitcoin","4130.80","Bancor Network","4300.32","","","SouthXchange","2934.84","Koineks","1850.58","CoinEx","18.28","Bitstamp","1337.63","Bitstamp (Ripple Gateway)","2865.38","","","","","Graviex","424.39","","","YoBit","117853.80","Bitstamp (Ripple Gateway)","79403.94","Bittrex","62374.32","Bitstamp","23158.08","Indodax","23975.76","YoBit","15140.02","Bitfinex","6747.72","Bittrex","9619.92","YoBit","4458.14","Coinbase Pro","5736.00","Kraken","3132.92","Gate.io","758.08","Bitstamp","2995.74","Binance","2040.00","Bittrex","1629.18","Bittrex","1861.92","Bittrex","1629.18","YoBit","3089.80","HitBTC","922.20","CoinEx","774.04","HADAX","2212.60","Kraken","911.82","Cryptopia","733.53","Bitfinex","998.76","Bittrex","1474.02","Cryptopia","663.67","Bittrex","543.06","Binance","960.00","Cryptopia","593.81","Koinim","1112.67","Indodax","730.14","","","Bittrex","775.80","CoinEx","889.10","","","Cryptopia","803.39","Bitstamp","1481.04","BtcTurk","754.72","Bitstamp","639.54","Bitfinex","341.04","","","YoBit","5115.18","","","COSS","1000.00","","","OpenLedger DEX","1266.54","Bitfinex","394.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Poloniex","446500.00","Bittrex","675270.00","Koineks","378865.62","Bitfinex","307200.00","Bitfinex","329280.00","Poloniex","176000.00","Bitfinex","269280.00","Kucoin","193430.00","Coinbase Pro","169600.00","Bitfinex","176160.00","Coinbase Pro","181790.00","CoinEx","57120.00","Binance","151200.00","Bittrex","76250.00","Coinbase Pro","127730.00","Coinbase Pro","151050.00","Bittrex","100650.00","Binance","131760.00","Bittrex","84180.00","Cryptopia","57600.00","Bitfinex","86400.00","Bitfinex","57600.00","CoinMate","94562.40","Cryptopia","63200.00","Poloniex","64500.00","Bittrex","35990.00","LiteBit.eu","62665.14","Kraken","51300.00","Bitfinex","53760.00","Cryptopia","47200.00","Poloniex","50000.00","Bittrex","40260.00","Exmo","44520.00","Kucoin","31900.00","Bitfinex","39360.00","SouthXchange","32216.10","Kraken","36990.00","Bitfinex","32640.00","Bittrex","28060.00","Kucoin","21750.00","","","HitBTC","180091.08","CoinExchange","22733.00","Waves Decentralized Exchange","25400.13","Cryptopia","15300.45","Bitfinex","6746.32","","","","","","","Bitfinex","7537.98","","","","","","","OKEx","3039.24","Bittrex","2299.99","Livecoin","1684.80","","","","","","","Bitstamp (Ripple Gateway)","2505.51","","","Binance","1680.00","Bitfinex","2409.40","","","","","SouthXchange","2597.40","Graviex","2810.15","OKEx","1042.53","","","","","CryptoMarket","3916.89","Tidex","3880.25","","","CoinExchange","2889.25","CEX.IO","1706.94","","","Bitstamp (Ripple Gateway)","1337.63","OKCoin International","2862.75","","","","","Bittrex","401.94","","","Cryptopia","116072.39","Bitstamp","79403.94","Cryptopia","43557.71","Bitstamp (Ripple Gateway)","23158.08","YoBit","20216.12","Bitstamp","10602.90","WEX","6651.16","Poloniex","9151.45","Kucoin","3885.85","Bitstamp (Ripple Gateway)","4779.72","Kucoin","2632.35","","","Binance","2880.00","BitMart","1608.67","Cryptopia","1362.27","Luno","1464.48","HitBTC","1096.20","Poloniex","2638.47","Kraken","865.06","BTC-Alpha","745.25","Bibox","1228.77","OKEx","876.96","CoinExchange","673.32","Poloniex","998.34","Binance","1200.00","BTC Trade UA","433.62","YoBit","529.68","Bittrex","465.48","Bitbns","460.80","YoBit","971.08","Binance","720.00","","","BTC-Alpha","387.75","IDAX","781.65","","","Bittrex","465.48","Bitfinex","755.16","YoBit","617.96","Bitstamp (Ripple Gateway)","639.54","CoinsBank","312.90","","","Mercatox","2800.00","","","Coindeal","612.72","","","Bitso","1033.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Gemini","427858.99","WEX","652290.00","Bittrex","338550.00","Poloniex","290500.00","BTC Trade UA","314091.57","Cryptopia","173200.00","CoinEx","212380.00","Bitfinex","187680.00","Bittrex","165920.00","Poloniex","149000.00","Kraken","175230.00","Tokenomy","51523.42","GOPAX","117222.40","Bitfinex","59520.00","Bitfinex","84000.00","Bittrex","118950.00","Cryptopia","84400.00","CoinExchange","89550.00","Kraken","69120.00","HitBTC","54900.00","Bittrex","77470.00","Kucoin","47270.00","Bitstamp","68900.00","Bittrex","50020.00","Cryptopia","59600.00","Bitfinex","35520.00","Kucoin","45820.00","Bitstamp","43160.00","Coinbase Pro","50350.00","HitBTC","44700.00","OKEx","38720.00","Cryptopia","36000.00","Bitfinex","44160.00","Buda","30002.48","Poloniex","34500.00","Bittrex","28670.00","Bitfinex","20640.00","Bittrex","28060.00","Cryptopia","24400.00","CryptoBridge","19950.00","","","CoinExchange","158242.00","Crex24","16643.16","Exmo","3210.12","CoinExchange","12668.25","CoinTiger","4807.02","","","","","","","CryptoBridge","6985.00","","","","","","","Bittrex","2657.27","Bitfinex","2047.99","Bitfinex","1566.11","","","","","","","Bitstamp","2505.51","","","OpenLedger DEX","5.58","Kucoin","2133.78","","","","","Gate.io","2595.90","Crex24","2662.46","CoinBene","902.87","","","","","Negocie Coins","3685.24","","","","","Crex24","1804.68","Paribu","1377.00","","","Bitsane","1292.50","CEX.IO","2746.80","","","","","Livecoin","105.30","","","Kucoin","105118.51","Cryptopia","68951.82","Bitstamp (Ripple Gateway)","37530.90","Kucoin","19003.06","Poloniex","14642.32","Bitstamp (Ripple Gateway)","10602.90","Bittrex","5508.18","WEX","6435.28","Poloniex","3708.12","Bitstamp","4779.72","Bitfinex","2484.72","","","Indodax","1426.32","CoinsBank","1315.67","Paribu","1102.79","YoBit","1412.48","Indodax","950.88","","","Cryptopia","838.32","Crex24","565.75","","","Bitstamp (Ripple Gateway)","673.20","BTC-Alpha","555.50","HitBTC","748.20","Bancor Network","1109.62","Waves Decentralized Exchange","314.88","CoinEx","491.62","OTCBTC","372.00","Buda","369.42","Poloniex","641.79","YoBit","529.68","","","Cryptopia","384.23","Gate.io","765.44","","","Poloniex","427.86","YoBit","397.26","Indodax","577.32","Bittrex","620.64","Bitstamp","302.94","","","Kraken","1900.00","","","OKCoin International","474.11","","","Bleutrade","1000.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Kucoin","423980.00","Cryptopia","588800.00","Bitfinex","293760.00","Cryptopia","243200.00","Bittrex","309880.00","IDEX","151650.00","Gate.io","200393.74","Cryptopia","159200.00","Poloniex","138500.00","Kucoin","134850.00","Bitfinex","154080.00","YoBit","50320.00","Bitfinex","64320.00","CryptoBridge","51450.00","Kucoin","82650.00","HitBTC","85800.00","WazirX","66127.59","HitBTC","37500.00","Cryptopia","68000.00","CoinExchange","28800.00","Cryptopia","68400.00","Independent Reserve","46663.23","Bitstamp (Ripple Gateway)","68900.00","TradeOgre","46964.10","Bitfinex","58080.00","Poloniex","25500.00","Bitfinex","42720.00","Bitstamp (Ripple Gateway)","43160.00","Bitstamp (Ripple Gateway)","43810.00","Coinut","26076.19","Bittrex","24400.00","Kucoin","31320.00","WEX","38250.00","YoBit","24790.00","Bittrex","28670.00","Cryptopia","28000.00","Cryptopia","18000.00","IDEX","20700.00","Coinbase Pro","19610.00","Mercatox","16953.76","","","Kucoin","151558.77","Escodex","15149.12","Crex24","568.14","TradeOgre","10020.68","Poloniex","4696.64","","","","","","","HitBTC","2389.66","","","","","","","YoBit","2408.28","Waves Decentralized Exchange","2043.51","Gate.io","1516.82","","","","","","","CoinCorner","1991.71","","","","","Gate.io","1954.56","","","","","Mercatox","2438.46","CoinExchange","2159.00","Switcheo Network","830.96","","","","","BitcoinTrade","238.50","","","","","Coindeal","622.05","Koinim","1099.44","","","Gatehub","1266.84","Kraken","2540.16","","","","","","","","","Bitstamp","93103.56","YoBit","46258.72","Bitstamp","37530.90","Bitfinex","14908.32","Bitstamp (Ripple Gateway)","13396.68","Poloniex","9365.38","Cryptopia","5134.71","Cryptopia","5938.10","HitBTC","3671.40","IDEX","1908.48","Cryptopia","2375.24","","","Kraken","1052.10","CEX.IO","679.91","HitBTC","661.20","BX Thailand","902.40","Hotbit","557.28","","","IDCM","811.80","BigONE","453.80","","","Bitstamp","673.20","Bittrex","543.06","Bittrex","698.22","Cryptopia","349.30","Indodax","305.64","C-CEX","477.10","Bitfinex","219.24","WEX","359.80","Exmo","554.20","Poloniex","309.01","","","WEX","370.08","Coinbase Pro","501.90","","","Exmo","391.20","Cryptopia","279.44","CEX.IO","494.48","Koinex","381.68","Bitstamp (Ripple Gateway)","302.94","","","QuadrigaCX","1716.08","","","","","","","CoinsBank","167.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Kraken","399060.00","Bitfinex","432000.00","Koinim","192141.11","CoinExchange","238200.00","YoBit","241610.00","WEX","134980.00","ZB.COM","155640.66","Poloniex","136000.00","Cryptopia","138400.00","Cryptopia","99600.00","Poloniex","117500.00","Bittrex","45750.00","Korbit","53725.59","Poloniex","46500.00","Cryptopia","79200.00","Kucoin","72210.00","Poloniex","64000.00","Bittrex","28670.00","Poloniex","67000.00","CryptoBridge","27450.00","Bitstamp (Ripple Gateway)","56290.00","Poloniex","41500.00","Bittrex","62220.00","YoBit","36630.00","Kraken","56160.00","Cryptopia","19600.00","Bittrex","42700.00","CryptoBridge","32250.00","Bitstamp","43810.00","Bitfinex","24000.00","OTCBTC","18974.40","HitBTC","25800.00","Bittrex","29280.00","Bitfinex","24000.00","Kucoin","19140.00","Poloniex","26000.00","Bitstamp","15860.00","Kucoin","20010.00","Kucoin","19140.00","Bitfinex","15840.00","","","BitForex","141004.80","SouthXchange","6739.92","Kucoin","342.21","Bittrex","8150.45","DigiFinex","4611.88","","","","","","","Poloniex","2099.94","","","","","","","IDEX","2222.70","HADAX","1440.20","Graviex","1353.46","","","","","","","BTCBOX","1528.94","","","","","IDEX","1912.00","","","","","IDAX","1554.65","SouthXchange","1127.76","Bancor Network","807.84","","","","","","","","","","","Bittrex","223.30","CoinEx","127.96","","","CEX.IO","981.00","","","","","","","","","","","Bitstamp (Ripple Gateway)","93103.56","Kraken","42925.68","Poloniex","27882.21","Cryptopia","11841.27","Bitstamp","13396.68","Coinbase Pro","8592.05","Poloniex","4444.99","HitBTC","3306.00","Bittrex","3646.26","Kucoin","1403.92","Bitstamp (Ripple Gateway)","1783.98","","","CoinEx","1035.54","CoinExchange","532.14","OKEx","625.24","Coinut","777.20","CoinExchange","488.70","","","Poloniex","736.87","TradeOgre","453.33","","","CoinsBank","563.22","Poloniex","522.94","RuDEX","453.60","Switcheo Network","293.30","HitBTC","208.80","Kuna","347.17","CoinEx","167.36","Trade Satoshi","330.30","Indodax","305.64","Paribu","280.67","","","Poloniex","261.47","HitBTC","313.20","","","Bleutrade","377.42","Exmo","277.10","Altcoin Trader","60.68","Kraken","327.32","Bitso","227.22","","","Bitstamp (Ripple Gateway)","1300.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
