"",geographyRank,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",referralRank,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",socialRank,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",adRank,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","#11","","#12","","#13","","#14","","#15","","#16","","#17","","#18","","#19","","#20","","","","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","#11","","#12","","#13","","#14","","#15","","#16","","#17","","#18","","#19","","#20","","","","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","#11","","#12","","#13","","#14","","#15","","#16","","#17","","#18","","#19","","#20","","","","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","#11","","#12","","#13","","#14","","#15","","#16","","#17","","#18","","#19","","#20","",""
"","United States","10322226.88","Russia","7895878.45","Brazil","6385901.90","Turkey","3679460.27","China","2820995.69","Ukraine","2535442.19","Vietnam","2478547.96","Korea, Republic of","1858151.28","United Kingdom","1452421.84","Indonesia","1428611.31","Germany","1380509.61","Japan","1317066.63","Thailand","1076490.48","Mexico","882593.60","Poland","691914.17","India","533613.73","Australia","511734.40","Netherlands","508854.84","South Africa","478416.64","Canada","424101.81","","","coinmarketcap.com","3677778.06","poplized-insations.com","1339240.00","coingecko.com","204298.69","masternodes.online","188255.79","usagoals.me","163122.96","bitcointalk.org","131038.03","huobi.com","113230.32","coinbase.com","94571.55","adbtc.top","88990.36","usagoals.nu","71948.04","hackertyper.com","68696.32","feixiaohao.com","66874.61","bitstamp.com","65417.76","whattomine.com","49565.89","bitcoin.org","44332.28","usagoals.com","42500.64","refbit.net","35879.60","bittube.me","26666.90","manilaads.ph","23713.50","socpublic.com","22837.14","","","youtube.com/watch","1779864.64","facebook.com","826840.80","youtube.com","756600.15","twitter.com","365009.43","web.whatsapp.com","207552.59","youtube.com/feed/subscriptions","65996.32","facebook.com/sanel.klapuh.3","29865.22","vk.com/im","18082.40","weibo.com/mygroups","15331.76","vk.com/feed","9840.80","l.facebook.com/l.php","7393.99","web.facebook.com","7160.32","youtube.com/results","6500.01","badoo.com/search","5380.54","twitter.com/DayZ","4605.12","vk.com/topic-101821023_39769732","3572.55","twitter.com/DaoCoinTech","3088.42","tweetdeck.twitter.com","2784.09","twitter.com/i/notifications","2660.67","twitter.com/search","2500.57","","","cpmlink.net","23941.82","youtube.com","13764.89","dafreetv.net","11139.11","openload.co","10742.75","proxyrarbg.org","10635.75","segye.com","9598.68","tvdanawa.net","8723.16","coinmarketcap.com","6817.84","dreamtheaterdescargasmega.blogspot.com","6634.10","ww2.icdrama.se","6255.16","bizoninvest.com","5225.56","kissasian.sh","4766.68","navigator.gmx.net","4500.00","rarbg2018.org","4148.35","finder.com","4147.78","rarbgmirror.com","4042.40","reporteconfidencial.info","3624.67","videos.bajaryoutube.com","3624.67","sammobile.com","2751.58","anime47.com","2609.27",""
"","Binance","2610090.00","Binance","1606500.00","Binance","994140.00","Binance","1719900.00","OKEx","628440.00","Exmo","480234.70","Binance","1105650.00","Upbit","711095.60","BitMEX","357120.00","Indodax","1229020.00","Bitfinex","264600.00","Bitbank","405749.08","BX Thailand","1042910.00","Bitso","860579.67","BitBay","541242.08","Koinex","209831.70","BTC Markets","434871.20","LiteBit.eu","187661.32","Altcoin Trader","282621.04","QuadrigaCX","189530.28","","","Binance","388160.62","CEX.IO","1339240.00","BITBOX","29154.27","CryptoBridge","59150.34","BitMEX","163122.96","Graviex","21571.10","Huobi","110633.04","Coinbase Pro","94571.55","Binance","68171.24","Binance","71948.04","Binance","41355.96","OKEx","16715.16","Bitstamp","32708.88","Cryptopia","19552.00","Bittrex","7050.12","BitMEX","42500.64","Binance","35879.60","CoinEx","26666.90","OKCoin International","5692.98","Crex24","20972.34","","","Binance","267190.00","Binance","203830.00","Binance","201190.00","Binance","113300.00","Binance","63580.00","Bitstamp (Ripple Gateway)","15559.83","Crex24","21065.54","BTC-Alpha","3926.16","ZB.COM","9990.54","YoBit","6646.78","Crex24","3687.07","Indodax","4014.50","Mercado Bitcoin","2303.46","TradeOgre","5380.54","Exmo","4605.12","CoinExchange","2201.70","OKEx","3088.42","Zaif","925.60","Trade Satoshi","1660.67","Graviex","1093.84","","","BitBay","23941.82","CEX.IO","3936.45","Cashierest","9742.25","STEX","10742.75","CEX.IO","10635.75","Cashierest","9598.68","Cashierest","6012.36","Kucoin","3637.76","CEX.IO","6634.10","STEX","6255.16","Binance","5104.96","STEX","4766.68","Bitstamp","1700.00","CEX.IO","4148.35","Binance","4147.78","CEX.IO","4042.40","Binance","3624.67","Binance","3624.67","BitcoinTrade","2751.58","STEX","2609.27",""
"","Coinbase Pro","2259400.00","YoBit","831840.00","Mercado Bitcoin","990200.00","BtcTurk","465075.00","BitMEX","620800.00","Poloniex","265600.00","Bittrex","427770.00","Bithumb","368249.20","Coinbase Pro","337480.00","Mercatox","51768.45","Kraken","215510.00","Zaif","380662.47","C-CEX","19742.10","Escodex","7517.50","Coindeal","49192.90","Bitbns","134712.55","Independent Reserve","46395.72","Kraken","140070.00","Luno","194686.80","Coinsquare","97350.33","","","Cryptopia","242256.80","","","TradeOgre","17317.95","Graviex","36373.30","","","CryptoBridge","15755.52","HBUS","2597.28","","","Crex24","19955.95","","","CoinExchange","27340.36","ZB.COM","6562.08","Bitstamp (Ripple Gateway)","32708.88","CryptoBridge","17031.18","Gemini","5556.00","","","","","","","Bitstamp","4651.20","Coinut","1097.20","","","Kucoin","95615.69","Bitstamp","60152.40","Bitstamp (Ripple Gateway)","40480.11","BitMEX","43392.16","BitMEX","14444.56","Bitstamp","15559.83","Mercatox","8799.68","ABCC","3657.00","OKEx","4396.22","BTC-Alpha","2346.84","Coinut","1003.68","Luno","1405.26","CEX.IO","2004.20","","","","","SouthXchange","1370.85","","","Bitbank","922.20","Bithesap","1000.00","DEx.top","1000.00","","","","","Kucoin","2454.56","GOPAX","1271.86","","","","","","","GOPAX","1960.80","Ethfinex","1000.00","","","","","Trade Satoshi","120.60","","","Bitstamp (Ripple Gateway)","1700.00","","","","","","","","","","","","","","",""
"","Bittrex","665420.00","Poloniex","795200.00","Crex24","564520.00","Paribu","296741.61","Huobi","277305.40","Bitfinex","242640.00","BitMEX","301440.00","CoinZest","114428.28","Kucoin","135780.00","Hotbit","34414.38","Coinbase Pro","164560.00","Coincheck","265781.23","Bitkub","9515.64","Bitbns","6892.90","CoinExchange","41580.00","WazirX","61707.38","ACX","9976.68","Bitonic","65233.46","Bitlish","1108.80","CEX.IO","74040.00","","","HitBTC","146140.48","","","STEX","13109.04","Crex24","30119.85","","","Crex24","13659.29","","","","","Coingi","863.17","","","","","FCoin","4686.57","","","Bittrex","6577.06","Bitstamp (Ripple Gateway)","4596.48","","","","","","","Bitstamp (Ripple Gateway)","4651.20","BTC Trade UA","767.60","","","BitMEX","92252.20","Bitstamp (Ripple Gateway)","60152.40","Bitstamp","40480.11","Bittrex","25585.50","Kraken","11275.75","Bittrex","11266.50","","","Exmo","3096.32","OTCBTC","945.00","Bilaxy","332.92","CryptoBridge","706.32","BX Thailand","849.00","LiteBit.eu","722.63","","","","","","","","","bitFlyer","564.05","","","Zebpay","262.73","","","","","Bitkub","2393.43","Gate.io","125.00","","","","","","","Gate.io","750.00","Coindeal","715.00","","","","","","","","","Kraken","1100.00","","","","","","","","","","","","","","",""
"","BitMEX","538880.00","Bittrex","578200.00","BitcoinTrade","370276.71","Koineks","265670.36","Bitfinex","221400.00","Bittrex","218540.00","Poloniex","134800.00","Coinone","113242.71","CEX.IO","132120.00","CoinEx","26386.92","Bitstamp (Ripple Gateway)","121800.00","bitFlyer","170088.52","BITBOX","2372.50","WazirX","3266.30","Coinroom","35087.06","STEX","39224.43","ZB.COM","6706.53","LATOKEN","18216.96","","","Upbit","12868.24","","","Kucoin","142033.92","","","Trade Satoshi","12862.96","CoinExchange","21855.28","","","Cryptopia","11543.20","","","","","","","","","","","Bitfinex","4241.26","","","Poloniex","3218.85","Bitstamp","4596.48","","","","","","","itBit","4446.02","","","","","Bittrex","78699.00","Bittrex","56138.25","BitMEX","35935.96","Bitstamp (Ripple Gateway)","23600.61","Indodax","11034.45","Coinbase Pro","7105.47","","","IDEX","1391.90","","","OTCBTC","328.86","DragonEX","500.00","C-Patex","575.12","Bitinka","396.20","","","","","","","","","CryptalDash","372.24","","","Stronghold","144.00","","","","","BitBay","1680.84","","","","","","","","","","","BITBOX","696.64","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Poloniex","401200.00","Cryptopia","443520.00","HitBTC","348660.00","Bittrex","200900.00","Gate.io","176936.32","BTC Trade UA","208820.15","IDEX","62380.60","Cashierest","102799.20","Cryptopia","123520.00","Luno","18060.00","Bitstamp","121800.00","Liquid","45284.60","Zaif","1950.24","CryptoMarket","2257.47","InfinityCoin Exchange","7109.90","Trade Satoshi","36161.95","BigONE","5803.58","Token Store","15551.34","","","Gemini","11801.43","","","Mercatox","131070.83","","","BiteBTC","10343.14","Cryptopia","15040.00","","","CoinExchange","9184.32","","","","","","","","","","","Bithumb","3864.96","","","HitBTC","3186.80","Bittylicious","4284.58","","","","","","","Kraken","4272.10","","","","","Bitstamp","75129.12","BX Thailand","33000.63","Poloniex","33040.80","Bitstamp","23600.61","Bitfinex","10495.80","YoBit","6150.34","","","Liqui","946.50","","","BtcTrade.im","74.10","Stronghold","498.60","TOPBTC","169.84","Coinbe","307.32","","","","","","","","","","","","","","","","","","","Mercatox","1400.00","","","","","","","","","","","OKEx","441.24","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Kraken","346840.00","BitMEX","408960.00","Trade Satoshi","317994.15","Kucoin","181660.00","FCoin","137537.04","YoBit","174480.00","CoinExchange","57970.00","Coinbit","102134.76","Bitstamp (Ripple Gateway)","67620.00","Stellarport","17824.82","LiteBit.eu","85888.88","FCoin","13050.96","","","Mercado Bitcoin","800.00","Kuna","3844.62","HBUS","19947.94","Coincheck","3706.17","BitMart","12932.12","","","ezBtc","8980.72","","","CoinExchange","124243.44","","","HitBTC","6682.00","STEX","12224.70","","","Trade Satoshi","8907.04","","","","","","","","","","","Bibox","3553.20","","","","","Bisq","3997.88","","","","","","","","","","","","","Bitstamp (Ripple Gateway)","75129.12","BitMEX","26520.68","Bittrex","27417.00","Kucoin","21843.14","Poloniex","10015.20","Livecoin","5790.36","","","RuDEX","765.72","","","RightBTC","43.56","Lykke Exchange","410.76","CoinTiger","146.60","Sistemkoin","295.78","","","","","","","","","","","","","","","","","","","Cashierest","990.34","","","","","","","","","","","Liquid","327.20","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Kucoin","307210.00","Bitfinex","363240.00","Poloniex","285200.00","Koinim","123776.80","CoinEx","114997.05","Kuna","172790.28","CoinEx","44334.78","GOPAX","88008.76","Bitstamp","67620.00","LocalTrade","8403.78","YoBit","68880.00","Bit-Z","10455.06","","","Braziliex","708.66","CoinMate","3501.81","DDEX","12447.40","Zaif","2437.80","IDAX","12728.66","","","RuDEX","6505.02","","","STEX","123495.48","","","YoBit","5917.94","Escodex","6166.24","","","Novaexchange","7663.60","","","","","","","","","","","Poloniex","3063.60","","","","","itBit","2378.55","","","","","","","","","","","","","Bitfinex","65223.90","Kucoin","26391.87","Indodax","27222.65","Bitfinex","14779.80","HitBTC","9037.56","Coincheck","813.28","","","Bitinka","708.40","","","BCEX","34.24","CoinFalcon","225.33","","","Cryptonex","204.90","","","","","","","","","","","","","","","","","","","OpenLedger DEX","597.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
