"",geographyRank,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",referralRank,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",socialRank,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",adRank
"","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","#11","","#12","","#13","","#14","","#15","","#16","","#17","","#18","","#19","","#20","","","","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","#11","","#12","","#13","","#14","","#15","","#16","","#17","","#18","","#19","","#20","","","","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","#11","","#12","","#13","","#14","","#15","","#16","","#17","","#18","","#19","","#20","","","",""
"","United States","46650.98","Russia","42992.75","Vietnam","42467.15","China","27409.70","Brazil","20311.87","Ukraine","17032.44","Korea, Republic of","14116.78","India","14069.71","Turkey","13619.97","Netherlands","13378.99","Germany","13150.70","United Kingdom","10558.37","France","8846.21","Thailand","6814.12","Belgium","5839.24","Czech Republic","5689.76","Canada","5658.88","Switzerland","4632.91","Sweden","4504.78","Poland","4199.62","","","coinmarketcap.com","20408.32","icodrops.com","20123.31","medium.com","7065.87","github.com","4971.11","icobench.com","4674.35","bounty.global","2439.17","etherscan.io","2425.76","techcrunch.com","2146.08","3l4b4.r.ah.d.sendibm4.com","1715.03","bitcointalk.org","1657.46","mundonegro.inf.br","1377.00","ndapp.org","1362.40","weworkremotely.com","1264.00","bitvideo.club","1216.16","tokendata.io","1209.22","icomarks.com","1157.30","coinchase.com","1106.31","hedera18.com","851.96","coingecko.com","850.59","icohotlist.com","840.35","","","youtube.com/watch","23228.42","facebook.com","6103.46","youtube.com","2532.19","vk.com/im","2514.99","twitter.com/search","2284.80","linkedin.com","1000.00","facebook.com/groups/hireclub","1000.00","twitter.com/neonexchange","954.55","l.facebook.com/l.php","941.78","steemhunt.com/@ady-was-here/lenovo-flex-14-ultra-thin-2-in-1-laptop","919.50","web.whatsapp.com","842.62","facebook.com/groups/nonteachingjobseekerskorea","760.00","youtube.com/feed/subscriptions","751.17","mail.google.com/mail/u/1/#inbox","682.64","neonexchange.com","639.20","bmwblog.com/2018/10/02/photo-comparison-g20-bmw-3-series-m-sport-vs-f30-3-series-m-sport/#comment-4125069830","630.08","twitter.com","589.30","twitter.com/CryptoBrothers3/status/1051117421136932864","567.00","twitter.com/Kadet093","567.00","twitter.com/matt_carden","565.08","","",""
"","BitMax","4984.32","AERGO","7773.06","Bgogo","27480.26","BitMax","7523.68","Atlas Protocol","3511.20","AERGO","4782.01","Bgogo","8292.24","BitMax","1812.48","BitMax","7164.96","Bgogo","3043.28","Neonexchange","2891.70","Neonexchange","2409.75","Neonexchange","2966.67","Neonexchange","2266.95","SOAR","968.30","Neonexchange","1131.69","Kairos","679.80","Liquidity Network","792.82","Bgogo","1961.38","DFINITY","839.36","","","Metadium","5824.65","nOS","3780.70","AERGO","1723.93","Origin Protocol","2045.34","SOAR","711.06","Lambda","1339.29","ShareRing","1400.70","Origin Protocol","1735.14","AERGO","1715.03","Vite","594.50","Kairos","1377.00","Neonexchange","1362.40","Neonexchange","1264.00","Codex Protocol","1216.16","Ankr Network","374.90","DxChain","297.15","DACC","840.20","Hedera Hashgraph","851.96","Bgogo","339.68","Ultrain","306.60","","","nOS","3627.85","Bgogo","1420.06","SOAR","772.64","Neonexchange","1541.05","Neonexchange","2284.80","Kleros","1000.00","Vite","1000.00","Neonexchange","954.55","Carry Protocol","786.30","DFINITY","919.50","Atlas Protocol","373.50","Metadium","760.00","Blockcloud","363.10","CryptoCurve","682.64","Neonexchange","639.20","SOAR","315.04","Neonexchange","380.80","Atlas Protocol","283.50","Atlas Protocol","283.50","Kairos","565.08","","",""
"","FOAM Protocol","4871.46","BitMax","7646.40","AERGO","3658.99","Bgogo","4369.48","Sparkster","3511.20","BitMax","3511.68","AERGO","1963.45","AERGO","1515.71","Kairos","729.30","nOS","2055.68","BitMax","1595.36","DACC","914.76","Origin Protocol","835.20","Bgogo","2219.64","Contentos","968.30","BitMax","646.64","AERGO","671.61","Neonexchange","599.76","AERGO","1721.23","nOS","458.24","","","FIC Network","2289.19","AERGO","3050.03","Origin Protocol","881.10","Kairos","1618.38","Contentos","711.06","MoonX","975.80","0xcert Protocol","559.92","Kairos","410.94","","","AERGO","566.93","","","","","","","","","Sparkster","146.80","SOAR","269.01","Lambda","266.11","","","Neonexchange","164.00","ShareRing","161.69","","","Verasity","3421.50","FIC Network","1000.00","Contentos","772.64","0xcert Protocol","500.00","","","","","","","","","Kambria","128.60","","","Sparkster","373.50","","","BitMax","231.70","","","","","Contentos","315.04","Atlas Protocol","104.25","Sparkster","283.50","Sparkster","283.50","","","","",""
"","Kairos","4052.40","Bgogo","7329.00","Ultrain","2191.41","Usechain","2008.96","Lambda","1661.98","Bgogo","1116.80","BitMax","1637.84","Kairos","1303.50","Bgogo","642.16","Neonexchange","1795.71","AERGO","1420.29","DFINITY","901.58","Kairos","739.20","Ultrain","552.24","Neonexchange","685.44","nOS","523.52","FOAM Protocol","609.84","DFINITY","459.94","Neonexchange","374.85","Neonexchange","449.82","","","Midas Protocol","2289.19","Neonexchange","2872.80","Verasity","841.80","Usechain","427.52","Opiria & PDATA","484.90","Bgogo","124.08","DxChain","168.63","","","","","Yumerium","266.53","","","","","","","","","Atlas Protocol","146.80","Contentos","269.01","","","","","nOS","77.00","Mandala","109.20","","","Neonexchange","2334.95","ShareRing","1000.00","Bgogo","469.90","AERGO","337.68","","","","","","","","","AERGO","26.88","","","BitMax","78.40","","","Bgogo","138.01","","","","","","","Sparkster","104.25","","","","","","","","",""
"","Neonexchange","3769.92","Sparkster","2546.76","Neonexchange","1017.45","Ultrain","1702.35","Bgogo","1409.96","Sparkster","925.68","Carry Protocol","240.21","CryptoCurve","1251.60","Neonexchange","631.89","Blockcloud","947.70","Blockcloud","1326.00","AERGO","891.81","nOS","538.88","BitMax","500.32","Bgogo","523.50","AERGO","495.45","Neonexchange","560.49","CryptoCurve","304.08","Ankr Network","123.52","AERGO","414.71","","","Bgogo","2113.32","CryptoCurve","2427.08","DFINITY","615.33","nOS","390.50","Neonexchange","403.20","","","ContentBox","113.19","","","","","CryptoCurve","90.71","","","","","","","","","Verasity","146.28","FOAM Protocol","163.54","","","","","0xcert Protocol","74.16","Kleros","44.50","","","AERGO","2310.84","Midas Protocol","1000.00","Neonexchange","225.25","Atlas Protocol","41.25","","","","","","","","","","","","","AERGO","17.22","","","Kairos","18.36","","","","","","","","","","","","","","","","",""
"","Origin Protocol","3615.60","Atlas Protocol","2546.76","Midas Protocol","926.10","FOAM Protocol","1668.59","Verasity","1161.96","Atlas Protocol","925.68","Yumerium","218.44","Kleros","1204.16","Lambda","462.30","AERGO","756.02","DFINITY","642.94","nOS","688.64","AERGO","513.80","nOS","184.32","Yumerium","382.27","Bgogo","488.60","DFINITY","419.68","AERGO","253.23","nOS","61.44","DACC","249.48","","","Liquidity Network","1706.46","Bgogo","1089.44","CryptoCurve","588.44","Liquidity Network","244.46","Yumerium","386.32","","","FOAM Protocol","91.12","","","","","ShareRing","83.49","","","","","","","","","Carry Protocol","141.90","Carry Protocol","132.10","","","","","Newton Project","55.02","Carry Protocol","37.40","","","CryptoCurve","1320.76","Liquidity Network","792.20","Kairos","110.16","Sparkster","41.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","DFINITY","2981.68","Blockcloud","2373.80","FIC Network","926.10","Origin Protocol","1388.40","Kairos","1037.85","Blockcloud","713.70","FOAM Protocol","215.38","Blockcloud","1053.00","Metadium","441.18","DACC","619.74","Mandala","641.33","Kairos","617.10","DFINITY","436.76","AERGO","183.50","Blockcloud","280.80","Blockcloud","434.20","Liquidity Network","308.21","Verasity","242.19","FIC Network","53.76","BitMax","217.12","","","Vite","1606.00","DFINITY","1045.76","nOS","553.30","Kleros","216.10","Atlas Protocol","360.50","","","Blockcloud","26.73","","","","","Origin Protocol","29.70","","","","","","","","","Neonexchange","103.20","Yumerium","14.74","","","","","BitMax","45.60","0xcert Protocol","31.20","","","Atlas Protocol","1245.50","Origin Protocol","559.10","Blockcloud","66.00","Lambda","28.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Bgogo","2589.58","Neonexchange","2009.91","Lambda","822.48","Neonexchange","1149.54","Usechain","890.24","Ultrain","500.76","Metadium","178.41","Verasity","725.19","Atlas Protocol","378.48","BitMax","410.64","nOS","556.80","Hedera Hashgraph","615.57","DACC","330.66","Kairos","171.60","Atlas Protocol","206.34","FOAM Protocol","404.14","Usechain","284.16","Contentos","230.92","Midas Protocol","53.76","Blockcloud","188.50","","","ContentBox","1435.35","BitMax","1032.72","FOAM Protocol","338.81","DFINITY","28.81","Sparkster","360.50","","","Usechain","20.16","","","","","Neonexchange","25.60","","","","","","","","","Mandala","57.20","CryptoCurve","11.75","","","","","DFINITY","44.72","DFINITY","28.81","","","Sparkster","1245.50","AERGO","217.56","Verasity","32.50","Bgogo","25.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Hedera Hashgraph","1860.48","DACC","1026.63","Metadium","719.91","Newton Project","903.63","DACC","889.02","CryptoCurve","408.24","DACC","160.38","nOS","634.88","Sparkster","378.48","Midas Protocol","364.14","CryptoCurve","495.60","CryptoCurve","577.92","Ultrain","327.60","FOAM Protocol","125.84","Sparkster","206.34","DACC","297.00","Origin Protocol","280.80","SOAR","230.92","Hedera Hashgraph","48.45","Hedera Hashgraph","167.79","","","0xcert Protocol","1337.76","Origin Protocol","963.60","Neonexchange","276.00","","","ShareRing","276.46","","","Metadium","20.15","","","","","","","","","","","","","","","Usechain","24.32","","","","","","","ShareRing","34.96","Metadium","20.15","","","Bgogo","1097.42","Verasity","87.00","Atlas Protocol","31.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mandala","1831.36","Ultrain","960.57","Kambria","682.04","DACC","723.69","Neonexchange","828.24","Neonexchange","406.98","Neonexchange","142.80","Bgogo","523.50","Origin Protocol","340.80","FIC Network","364.14","Vite","391.16","Origin Protocol","422.40","CryptoCurve","264.60","DACC","116.82","AERGO","198.18","DFINITY","226.92","Bgogo","181.48","Metadium","217.74","DFINITY","30.50","Liquidity Network","165.13","","","DxChain","1061.76","Verasity","698.28","Codex Protocol","159.94","","","MoonX","258.02","","","FIC Network","12.58","","","","","","","","","","","","","","","Liquidity Network","17.68","","","","","","","ContentBox","11.55","FIC Network","16.28","","","Codex Protocol","1000.00","Kairos","27.54","Sparkster","31.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Ultrain","1660.23","nOS","806.40","DFINITY","472.14","DFINITY","635.62","MoonX","673.28","Yumerium","351.74","Ultrain","138.06","Neonexchange","453.39","DACC","330.66","Atlas Protocol","314.64","Ultrain","381.42","Liquidity Network","250.88","FOAM Protocol","233.53","Blockcloud","114.40","Metadium","189.24","Kairos","202.95","DACC","151.47","DACC","206.91","Kairos","28.05","Metadium","164.16","","","Usechain","744.64","Newton Project","469.70","Bgogo","157.08","","","0xcert Protocol","220.32","","","Midas Protocol","12.58","","","","","","","","","","","","","","","DxChain","15.54","","","","","","","Metadium","3.90","Midas Protocol","16.28","","","Hedera Hashgraph","1000.00","","","BitMax","21.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
