"",geographyRank,"","","","","","","","","","","","","","","","","","","","","",referralRank,"","","","","","","","","","","","","","","","","","","","","",socialRank,"","","","","","","","","","","","","","","","","","","","","",adRank,"","","","","","","","","","","","","","","","","","","",""
"","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","","","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","","","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","","","","#1","","#2","","#3","","#4","","#5","","#6","","#7","","#8","","#9","","#10","",""
"","United States","346611.14","Russia","269704.76","China","171630.77","Vietnam","153542.53","Germany","135335.31","United Kingdom","135133.37","Brazil","128749.32","Ukraine","110796.04","Turkey","91228.11","Netherlands","90599.78","","","icodrops.com","642231.87","medium.com","72373.81","coinlist.co","49530.04","bitcointalk.org","46871.26","icobench.com","30127.35","dxchain.typeform.com","27220.68","airdropalert.com","22673.68","airdrops.io","19483.12","techcrunch.com","15807.43","github.com","13159.51","","","youtube.com/watch","198443.29","facebook.com","111490.15","l.facebook.com/l.php","10312.85","youtube.com","9259.54","twitter.com/PDATA_Token","8352.12","twitter.com","6905.32","twitter.com/VladislavMamuro","6899.10","facebook.com/quadrantprotocol","5978.60","vk.com/im","5796.94","facebook.com/qsiris0","4552.86","","","youtube.com","74766.05","arcadetownfun.com","8806.70","amyplay.com","7619.71","gogy.com","7083.65","cpuwin.com","6585.88","insider.pro","2237.92","coinmarketcap.com","1441.62","simpleliker.net","1435.20","techcrunch.com","1000.00","msn.com","1000.00",""
"","DFINITY","68136.64","Origo Network","35120.98","DFINITY","78890.24","Usechain","26405.76","DFINITY","19997.12","DFINITY","21095.36","Tutellus","39720.09","Verasity","16256.19","FarmaTrust","13260.00","DFINITY","14505.92","","","Hedera Hashgraph","147949.62","DFINITY","39993.80","DFINITY","48785.44","Quadrant Protocol","25529.43","FarmaTrust","12038.40","DxChain","27220.68","Verasity","16353.52","Usechain","8823.04","Agora","10493.28","Kairos","9032.79","","","Verasity","85725.30","FOAM Protocol","60013.80","Kairos","2689.20","Verasity","1953.60","Opiria & PDATA","8352.12","Origo Network","3402.98","Opiria & PDATA","6899.10","Quadrant Protocol","5978.60","Origo Network","1103.85","Opiria & PDATA","3725.88","","","Verasity","71564.01","Verasity","8806.70","Verasity","7619.71","Verasity","7083.65","Verasity","6585.88","Tutellus","2237.92","Codex Protocol","1000.00","FarmaTrust","1435.20","Emotiq","1000.00","Kairos","1000.00",""
"","Kairos","54418.44","DFINITY","32581.12","Vite","14695.50","Verasity","21618.84","Origin Protocol","16012.88","FarmaTrust","18640.50","Kairos","26524.38","Usechain","12717.48","Kairos","11036.46","Kairos","10035.54","","","DFINITY","111492.92","Quadrant Protocol","15816.87","Origin Protocol","744.60","Opiria & PDATA","9040.36","Verasity","11120.10","","","Agora","6320.16","DFINITY","7672.28","Kairos","3292.89","Origin Protocol","2050.20","","","Usechain","17253.00","Kairos","9257.82","Usechain","1822.50","Hedera Hashgraph","1350.51","","","DFINITY","937.49","","","","","DFINITY","925.82","Quadrant Protocol","826.98","","","Tutellus","2771.84","","","","","","","","","","","Tutellus","441.62","","","","","","",""
"","Hedera Hashgraph","50787.33","Usechain","31284.03","Usechain","11965.11","DFINITY","20729.28","FarmaTrust","12495.00","Hedera Hashgraph","16295.40","Usechain","22279.86","Tutellus","11037.03","DFINITY","10433.28","Origin Protocol","7821.32","","","Origin Protocol","68503.20","Origin Protocol","4182.00","","","Verasity","3603.94","Codex Protocol","2179.20","","","","","Verasity","2921.32","Hedera Hashgraph","1343.79","DFINITY","1166.00","","","Hedera Hashgraph","12513.90","Hedera Hashgraph","8309.56","Hedera Hashgraph","1317.47","DFINITY","1345.94","","","FOAM Protocol","788.06","","","","","Kairos","657.36","","","","","FarmaTrust","430.20","","","","","","","","","","","","","","","","","","",""
"","Origin Protocol","32396.00","FarmaTrust","23332.50","Origin Protocol","11269.18","FarmaTrust","9919.50","Usechain","11285.55","Origin Protocol","14045.98","FarmaTrust","17365.50","DFINITY","9609.60","Verasity","9926.16","Hedera Hashgraph","7802.04","","","Kairos","57660.82","Moonlight","2159.82","","","Codex Protocol","2308.59","Origin Protocol","1744.20","","","","","Tutellus","66.48","Emotiq","529.92","Hedera Hashgraph","298.62","","","DFINITY","11899.51","Usechain","7516.80","Origo Network","956.67","Origin Protocol","1142.68","","","FarmaTrust","656.00","","","","","Usechain","643.95","","","","","","","","","","","","","","","","","","","","","","","","",""
"","FOAM Protocol","21997.98","Quadrant Protocol","21006.18","Origo Network","10920.12","Quadrant Protocol","9534.72","Hedera Hashgraph","11283.33","Kairos","9956.52","Hedera Hashgraph","6765.06","FarmaTrust","9307.50","Tutellus","9759.29","FarmaTrust","7726.50","","","Origo Network","52346.12","FOAM Protocol","1953.20","","","Tutellus","1238.19","Quadrant Protocol","1273.50","","","","","","","Codex Protocol","147.55","Moonlight","233.22","","","FarmaTrust","10235.65","DFINITY","6920.31","FOAM Protocol","736.10","Kairos","951.18","","","Origin Protocol","358.28","","","","","Quadrant Protocol","504.78","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Codex Protocol","12766.44","Tutellus","16852.95","Bitmax","10386.36","Origo Network","8415.34","Origo Network","11154.38","Origo Network","7622.46","Verasity","6435.18","Origo Network","9028.02","Hedera Hashgraph","5851.53","Origo Network","6108.78","","","Quadrant Protocol","35819.31","Verasity","1901.06","","","Kairos","845.88","Opiria & PDATA","584.32","","","","","","","","","FOAM Protocol","172.19","","","Tutellus","9362.15","Origin Protocol","5654.04","Verasity","588.30","Usechain","745.20","","","Agora","245.14","","","","","FarmaTrust","389.50","","","","","","","","","","","","","","","","","","","","","","","","",""
"","FarmaTrust","12342.00","Origin Protocol","15688.92","Hedera Hashgraph","6839.13","Origin Protocol","8029.58","Moonlight","6912.96","Usechain","7086.84","DFINITY","2242.24","Quadrant Protocol","7712.58","Origin Protocol","5437.90","Quadrant Protocol","4710.06","","","Vite","27216.72","Kairos","1701.83","","","Vite","803.73","Moonlight","359.97","","","","","","","","","Codex Protocol","156.63","","","Moonlight","6633.41","Verasity","3163.50","DFINITY","494.03","FarmaTrust","588.35","","","Hedera Hashgraph","202.37","","","","","Opiria & PDATA","355.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Origo Network","11767.06","Verasity","15372.93","FarmaTrust","5023.50","Kairos","7059.12","Tutellus","6631.03","Verasity","5572.95","FOAM Protocol","1538.46","Opiria & PDATA","7446.90","Usechain","5290.86","Usechain","3737.58","","","Moonlight","25208.04","Hedera Hashgraph","1426.74","","","Moonlight","735.15","Tutellus","315.78","","","","","","","","","Tutellus","49.86","","","Kairos","6205.08","FarmaTrust","2595.30","Agora","473.80","Quadrant Protocol","316.83","","","Codex Protocol","145.20","","","","","Origin Protocol","228.96","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Tutellus","10155.83","Hedera Hashgraph","14320.20","Kairos","4846.56","Hedera Hashgraph","6073.74","Kairos","6585.00","Moonlight","4231.68","Origin Protocol","1480.96","Origin Protocol","6618.04","Origo Network","4811.34","Vite","3734.50","","","Emotiq","16577.28","DxChain","926.28","","","DFINITY","699.60","DFINITY","256.52","","","","","","","","","","","","","Opiria & PDATA","6068.28","Origo Network","1942.33","Codex Protocol","333.52","Opiria & PDATA","204.96","","","Verasity","88.80","","","","","Verasity","222.00","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Vite","10000.70","Kairos","12011.04","DREP","3117.66","DREP","5829.91","Vite","6392.30","Tutellus","3943.37","Moonlight","811.68","Kairos","3977.34","Moonlight","3711.84","Moonlight","3657.12","","","Verasity","14768.08","Codex Protocol","592.47","","","FarmaTrust","524.70","DREP","171.95","","","","","","","","","","","","","Origo Network","5840.37","Vite","1093.06","Quadrant Protocol","291.77","Vite","193.44","","","Usechain","81.00","","","","","Vite","141.98","","","","","","","","","","","","","","","","","","","","","","","","",""
