"name","website url","symbol text","symbol img url","status","USD raised","time","sale price","current price","return","whitepaper url"
"EOS","https://eos.io/","","https://www.tokendata.io/assets/logos/eos.png","Completed","$4,234,275,713.00","06/26/2017 - 06/01/2018","","","","https://github.com/EOSIO/Documentation/blob/master/TechnicalWhitePaper.md"
"Telegram Open Network","","","https://www.tokendata.io/assets/logos/telegram%20open%20network.png","Completed","$1,700,000,000.00","12/01/2017 - 04/30/2018","","","",""
"Tezos","https://tezos.com/","XTZ","https://www.tokendata.io/assets/logos/tezos.png","Completed","$230,607,347.00","07/01/2017 - 07/13/2017","$0.470","$1.335","2.84x","https://tezos.com/pdf/position_paper.pdf"
"Filecoin","http://filecoin.io/","","https://www.tokendata.io/assets/logos/filecoin.png","Completed","$200,000,000.00","08/10/2017 - 09/07/2017","","","","https://filecoin.io/filecoin.pdf"
"Sirin Labs","https://www.sirinlabs.com/","SRN","https://www.tokendata.io/assets/logos/sirin%20labs.png","Completed","$157,885,825.00","12/12/2017 - 12/25/2017","$0.470","$0.074","0.16x","https://www.sirinlabs.com/media/SIRINLABS_-_White_Paper.pdf"
"The Bancor Protocol","https://bancor.network/","BNT","https://www.tokendata.io/assets/logos/the%20bancor%20protocol.png","Completed","$153,000,000.00","06/12/2017 - 06/12/2017","$3.857","$1.287","0.33x","https://drive.google.com/file/d/0B3HPNP-GDn7aLXFWOFpTZEgyaEk/view"
"The Dao","","","https://www.tokendata.io/assets/logos/the%20dao.png","Failed","$150,000,000.00","04/30/2016 - 05/28/2016","","","",""
"Bankera","https://bankera.com/","BNK","https://www.tokendata.io/assets/logos/bankera.png","Completed","$150,000,000.00","11/27/2017 - 02/28/2018","$0.015","$0.004","0.28x","https://bankera.com/Bankera_whitepaper.pdf"
"Polkadot","https://polkadot.network/","","https://www.tokendata.io/assets/logos/polkadot.png","Completed","$144,347,146.00","10/15/2017 - 10/27/2017","","","","https://github.com/w3f/polkadot-white-paper/blob/master/PolkaDotPaper.pdf"
"t0","https://tzero.com/","","https://www.tokendata.io/assets/logos/t0.png","Completed","$134,000,000.00","12/18/2017 - 08/09/2018","","","","https://www.tzero.com/tzero-overview.pdf"
"Basecoin","http://www.getbasecoin.com/","","https://www.tokendata.io/assets/logos/basecoin.png","Completed","$125,000,000.00","03/22/2018 - 04/03/2018","","","","http://www.getbasecoin.com/basecoin_whitepaper_0_99.pdf"
"Orbs","https://www.orbs.com/","","https://www.tokendata.io/assets/logos/orbs.png","Completed","$118,000,000.00","05/18/2018 - 05/18/2018","","","","https://www.orbs.com/orbs-position-paper"
"PumaPay","https://www.pumapay.io/","PMA","https://www.tokendata.io/assets/logos/pumapay.png","Completed","$117,019,041.00","04/26/2018 - 05/26/2018","$0.007","$0.000","0.05x","https://www.pumapay.io/docs/pumapay_whitepaper.pdf"
"QASH","https://liquid.plus/","QASH","https://www.tokendata.io/assets/logos/qash.png","Completed","$108,174,500.00","11/06/2017 - 11/08/2017","$0.309","$0.218","0.71x",""
"Status","https://status.im/","SNT","https://www.tokendata.io/assets/logos/status.png","Completed","$107,664,904.00","06/20/2017 - 06/20/2017","$0.036","$0.036","1.00x","https://wiki.status.im/"
"Envion","https://www.envion.org/en/","EVN","https://www.tokendata.io/assets/logos/envion.png","Completed","$100,012,279.00","12/15/2017 - 01/14/2018","$0.803","$0.034","0.04x","https://www.envion.org/en/download/envion_whitepaper.pdf"
"Hedera Hashgraph","https://www.hederahashgraph.com/","","https://www.tokendata.io/assets/logos/hedera%20hashgraph.png","Completed","$100,000,000.00","08/01/2018 - 08/01/2018","","","","https://www.hederahashgraph.com/whitepaper"
"Kin","https://kin.kik.com/","KIN","https://www.tokendata.io/assets/logos/kin.png","Completed","$98,500,326.00","09/12/2017 - 09/26/2017","$0.000","$0.000","0.62x","https://kin.kik.com/papers/Kin_Whitepaper_V1_English.pdf"
"COMSA","https://comsa.io/","CMS","https://www.tokendata.io/assets/logos/comsa.png","Completed","$95,614,242.00","10/03/2017 - 11/05/2017","$1.000","$0.081","0.08x","https://comsa.io/en/download/52847/"
"TenX","https://www.tenx.tech/","PAY","https://www.tokendata.io/assets/logos/tenx.png","Completed","$83,110,818.00","06/24/2017 - 06/24/2017","$0.805","$0.557","0.69x","https://www.tenx.tech/whitepaper/tenx_whitepaper_final.pdf"
"Flashmoni","https://www.flashmoni.io/","","https://www.tokendata.io/assets/logos/flashmoni.png","Planned","$72,000,000.00","10/20/2018 - 05/17/2018","","","","https://drive.google.com/open?id=10tlNa7GwOlaV7ZD7ovmYaOLq5sLSwUlU"
"London Football Exchange","https://lfe.com/","","https://www.tokendata.io/assets/logos/london%20football%20exchange.png","Completed","$71,000,000.00","05/01/2018 - 08/06/2018","","","","https://lfe.com/download/LFE_whitepaper.pdf"
"Elastos","https://www.elastos.org/","ELA","https://www.tokendata.io/assets/logos/elastos.png","Completed","$70,644,600.00","01/02/2018 - 01/23/2018","$8.920","$8.833","0.99x","https://www.elastos.org/static/file/elastos_whitepaper_0.2.pdf"
"BankEx","https://bankex.org/","BKX","https://www.tokendata.io/assets/logos/bankex.png","Completed","$70,600,000.00","11/28/2017 - 12/28/2017","$0.882","$0.069","0.08x",""
"WAX","https://www.waxtoken.com/","WAX","https://www.tokendata.io/assets/logos/wax.png","Completed","$68,403,200.00","11/15/2017 - 11/29/2017","$0.106","$0.077","0.73x","https://wax.io/documents/WAX_White_Paper.pdf?1515109330066"
"DFinity","https://dfinity.network/","","https://www.tokendata.io/assets/logos/dfinity.png","Completed","$61,000,000.00","02/01/2017 - 02/01/2018","","","",""
"VeChain","https://www.vechain.org/","VET","https://www.tokendata.io/assets/logos/vechain.png","Completed","$60,292,000.00","08/17/2017 - 08/17/2017","$0.001","$0.011","7.67x","https://cdn.vechain.com/vechain_ico_ideas_of_development_en.pdf"
"Nebulas","https://nebulas.io/","NAS","https://www.tokendata.io/assets/logos/nebulas.png","Completed","$60,000,000.00","12/15/2017 - 12/16/2017","$2.000","$1.643","0.82x","https://nebulas.io/docs/NebulasTechnicalWhitepaper.pdf"
"Cryptosolartech","https://cryptosolartech.org/en/","","https://www.tokendata.io/assets/logos/cryptosolartech.png","Completed","$60,000,000.00","04/16/2018 - 07/14/2018","","","","https://cryptosolartech.org/doc/cryptosolartech-whitepaper-en.pdf"
"Zeepin","https://www.zeepin.io/","ZPT","https://www.tokendata.io/assets/logos/zeepin.png","Completed","$59,858,852.00","01/18/2018 - 01/18/2018","$0.120","$0.031","0.26x","https://www.zeepin.io/whitepaper.php"
"Olympus Labs","https://olympuslabs.io/web","MOT","https://www.tokendata.io/assets/logos/olympus%20labs.png","Completed","$58,488,300.00","01/09/2018 - 01/09/2018","$1.462","$0.159","0.11x","https://olympuslabs.io/whitepaper_v1.5.pdf"
"SALT","https://www.saltlending.com/","SALT","https://www.tokendata.io/assets/logos/salt.png","Completed","$54,550,041.00","07/01/2017 - 08/22/2017","$1.000","$0.774","0.77x","https://saltlending.zendesk.com/hc/en-us"
"MobileGo","https://mobilego.io/","MGO","https://www.tokendata.io/assets/logos/mobilego.png","Completed","$53,069,235.00","04/25/2017 - 05/25/2017","$0.758","$0.521","0.69x","https://mobilego.io/pdf/MobileGo-Whitepaper.pdf"
"Nexo","https://nexo.io/","NEXO","https://www.tokendata.io/assets/logos/nexo.png","Completed","$52,500,000.00","04/01/2018 - 04/01/2018","$0.100","$0.132","1.32x","https://nexo.io/assets/downloads/Nexo-Whitepaper.pdf"
"Blockstack","https://blockstack.org/tokensale","","https://www.tokendata.io/assets/logos/blockstack.png","Completed","$52,000,000.00","11/16/2017 - 12/01/2017","","","","https://blockstack.com/tokenpaper.pdf"
"Crypterium","https://crypterium.io/","CRPT","https://www.tokendata.io/assets/logos/crypterium.png","Completed","$51,656,963.00","10/31/2017 - 01/06/2018","$0.738","$0.329","0.45x","https://crypterium.io/wp/index.html?v=0.46"
"Hycon","https://hycon.io/","","https://www.tokendata.io/assets/logos/hycon.png","Completed","$51,636,400.00","03/29/2018 - 05/10/2018","","","","https://hycon.io/#whitepaper"
"Naga Group","https://www.nagaico.com/","NGC","https://www.tokendata.io/assets/logos/naga%20group.png","Completed","$50,020,960.00","11/20/2017 - 12/15/2017","$0.227","$0.226","0.99x","https://docsend.com/view/srsg4zw"
"Neuromation","http://neuromation.io/en/","NTK","https://www.tokendata.io/assets/logos/neuromation.png","Completed","$50,000,000.00","01/07/2018 - 01/07/2018","$0.833","$0.049","0.06x","http://neuromation.io/files/Neuromation_white_paper.pdf"
"Swissborg","https://swissborg.com/en/","CHSB","https://www.tokendata.io/assets/logos/swissborg.png","Completed","$50,000,000.00","12/07/2017 - 01/10/2018","$0.093","$0.010","0.10x","https://swissborg.com/media/filer_public/46/1f/461f6b72-04ca-40e9-b3ae-d956bfe48b31/wp_040817_site.pdf?"
"Celsius","https://celsius.network/","","https://www.tokendata.io/assets/logos/celsius.png","Completed","$50,000,000.00","03/15/2018 - 03/23/2018","","","","https://celsius.network/#"
"Odyssey","https://ocoin.sg/","OCN","https://www.tokendata.io/assets/logos/odyssey.png","Completed","$50,000,000.00","01/22/2018 - 01/22/2018","$0.013","$0.011","0.92x","https://ocoin.sg/home/index.php?#whitepaper"
"Leadcoin","https://www.leadcoin.network/","","https://www.tokendata.io/assets/logos/leadcoin.png","Completed","$50,000,000.00","03/01/2018 - 03/01/2018","$0.038","$0.001","0.01x","https://drive.google.com/file/d/1YlZhHsvHuD0K0XRDz_W1M6xdhLvSZPcx/view"
"Videocoin","https://videocoin.io/","","https://www.tokendata.io/assets/logos/videocoin.png","Completed","$50,000,000.00","05/25/2018 - 05/25/2018","","","","http://bit.ly/VideoCoinWhitePaper"
"TraDove","https://bbcoin.tradove.com/","BBC","https://www.tokendata.io/assets/logos/tradove.png","Completed","$50,000,000.00","01/15/2018 - 02/28/2018","$0.100","$0.015","0.15x","https://bbcoin.tradove.com/doc/TraDove%20Global%20B2B%20Token%20Offering%20White%20Paper.pdf"
"Centra","https://www.centra.tech/token-sale/","CTR","https://www.tokendata.io/assets/logos/centra.png","Completed","$49,696,100.00","08/05/2017 - 09/25/2017","","","","https://www.centra.tech/CentraWhitePaper.pdf"
"Kyber Network","https://kyber.network/","KNC","https://www.tokendata.io/assets/logos/kyber%20network.png","Completed","$49,304,000.00","09/15/2017 - 09/16/2017","$0.357","$0.412","1.15x","https://kyber.network/assets/KyberNetworkWhitepaper.pdf"
"Hybridblock","https://www.hybridblock.io/","","https://www.tokendata.io/assets/logos/hybridblock.png","Completed","$47,830,000.00","05/23/2018 - 06/06/2018","$0.090","$0.017","0.19x","https://docs.hybridblock.io/whitepaper.pdf"
"Zen Protocol","https://www.zenprotocol.com/","ZP","https://www.tokendata.io/assets/logos/zen%20protocol.png","Completed","$46,860,000.00","11/30/2017 - 12/30/2017","$3.905","$0.275","0.07x",""
"GoNetwork","https://gonetwork.co/","GOT","https://www.tokendata.io/assets/logos/gonetwork.png","Completed","$46,719,624.00","06/11/2018 - 06/25/2018","$0.800","$0.052","0.07x","https://gonetwork.co/GoNetwork_WhitePaper.pdf"
"Alchemy","https://alchemycoin.io/#","","https://www.tokendata.io/assets/logos/alchemy.png","Completed","$46,640,000.00","08/13/2018 - 09/13/2018","","","","https://alchemycoin.io/static/files/Alchemy%20AFI%20Whitepaper%202018.08.06.pdf"
"INS Ecosystem","https://www.ins.world/","INS","https://www.tokendata.io/assets/logos/ins%20ecosystem.png","Completed","$45,949,800.00","12/04/2017 - 12/25/2017","$1.532","$0.484","0.32x","https://ins.world/INS-ICO-Whitepaper.pdf"
"Bibox","https://www.bibox365.com/","BIX","https://www.tokendata.io/assets/logos/bibox.png","Completed","$45,882,000.00","10/01/2017 - 10/31/2017","$0.167","$0.352","2.11x","https://www.bibox365.com/static/pdf/Bibox_Whitepaper.pdf"
