Binance,BTC/USDT,"$100,420,055",EOS/USDT,"$76,707,167",XRP/USDT,"$52,792,154",ETH/BTC,"$36,035,218",XRP/BTC,"$33,711,013",ETH/USDT,"$29,745,676",BCC/USDT,"$25,216,721",EOS/BTC,"$24,663,649",BCC/BTC,"$22,056,432",TRX/USDT,"$21,002,850"
ZB.COM,DASH/BTC,"$105,508,882",BCC/ZB,"$66,458,273",DASH/USDT,"$64,721,039",DASH/ZB,"$62,107,746",BTC/USDT,"$55,530,472",NEO/BTC,"$54,929,486",LTC/ZB,"$51,552,546",XRP/BTC,"$50,887,102",LTC/USDT,"$49,987,967",XRP/ZB,"$36,936,842"
OKEx,BTC/USDT,"$105,746,582",EOS/USDT,"$79,978,705",ETH/USDT,"$53,745,738",BCH/USDT,"$27,793,866",ETC/USDT,"$20,579,229",ETC/BTC,"$19,754,533",ETH/BTC,"$18,390,406",XRP/USDT,"$16,635,298",BCH/BTC,"$16,381,718",TRX/BTC,"$11,274,556"
Huobi,EOS/USDT,"$47,070,384",ETH/USDT,"$43,320,652",BTC/USDT,"$40,663,448",EOS/BTC,"$28,306,176",BCH/USDT,"$26,743,615",XRP/BTC,"$25,544,648",ETH/BTC,"$21,388,355",XRP/USDT,"$19,224,470",EOS/ETH,"$18,583,729",TRX/USDT,"$12,761,852"
HitBTC,BTC/USDT,"$69,340,957",ETH/BTC,"$58,948,968",XRP/USDT,"$48,034,863",ETH/USDT,"$44,987,492",XRP/BTC,"$28,305,573",EOS/USDT,"$26,056,420",BCH/BTC,"$16,690,044",BCH/USDT,"$11,347,958",LTC/USDT,"$10,791,984",DASH/USDT,"$6,061,759"
Bithumb,BTC/KRW,"$159,762,136",XRP/KRW,"$23,115,241",BCH/KRW,"$16,892,346",LTC/KRW,"$16,822,015",ZEC/KRW,"$16,021,787",ETC/KRW,"$14,682,779",BTG/KRW,"$14,468,115",OMG/KRW,"$14,313,588",EOS/KRW,"$11,316,053",XMR/KRW,"$8,412,446"
LBank,ZEC/ETH,"$90,484,961",EOS/ETH,"$41,032,695",BTC/USDT,"$24,733,001",ZEC/BTC,"$14,445,660",QTUM/BTC,"$14,299,844",ETH/BTC,"$12,405,306",PST/ETH,"$9,425,065",CMT/BTC,"$9,106,897",CMT/ETH,"$7,742,602",DASH/BTC,"$7,384,017"
Bitfinex,BTC/USD,"$63,297,958",USDT/USD,"$38,484,026",EOS/USD,"$34,172,345",ETH/USD,"$31,262,266",XRP/USD,"$21,320,897",BCH/USD,"$7,510,285",BTC/EUR,"$7,328,206",LTC/USD,"$4,049,700",MIOTA/USD,"$3,230,885",ETH/BTC,"$2,429,853"
Bibox,ETH/BTC,"$22,998,158",LTC/USDT,"$18,116,337",NEO/BTC,"$12,603,980",LTC/BTC,"$12,173,131",NEO/USDT,"$11,625,643",BIX/ETH,"$11,377,175",EOS/USDT,"$10,345,099",DASH/BTC,"$8,487,035",QTUM/BTC,"$7,840,315",QTUM/USDT,"$6,527,288"
BCEX,BTC/CKUSD,"$21,186,743",ETH/CKUSD,"$20,774,607",ETH/BTC,"$18,733,278",QTUM/BTC,"$14,351,303",ETC/CKUSD,"$9,395,225",LTC/BTC,"$9,177,089",ZEC/BTC,"$8,895,815",XRP/CKUSD,"$8,581,349",LTC/CKUSD,"$8,282,413",EOS/ETH,"$7,410,870"
